Date,Winner,WeightClass,Gender,Finish,RedFighter,BlueFighter,RedHeightCms,BlueHeightCms,RedReachCms,BlueReachCms,RedAge,BlueAge,FinishRound,TotalFightTimeSecs,RedAvgSigStrLanded,BlueAvgSigStrLanded,RedAvgTDLanded,BlueAvgTDLanded,RedOdds,BlueOdds,Year,WinnerHeight,WinnerReach,WinnerAvgStrikes,WinnerAvgTD,WinnerAge,WinnerAgeDiff,BettingResult
2024-02-11,Blue,Bantamweight,MALE,U-DEC,Chad Anheliger,Cody Gibson,168,178,163,180,37,37,3.0,900.0,3.11,3.47,0.68,2.18,,,2024.0,178,180,3.47,2.18,37,0,Unknown
2024-02-11,Red,Women's Flyweight,FEMALE,S-DEC,Jamey-Lyn Horth,Ivana Petrovic,170,173,168,178,34,30,3.0,900.0,3.29,2.0,0.1,2.53,,,2024.0,170,168,3.29,0.1,34,4,Unknown
,Red,Featherweight,MALE,KO/TKO,Ilia Topuria,Max Holloway,170,180,175,175,27,32,3.0,694.0,4.69,7.16,2.02,0.25,-3050.0,2450.0,,170,175,4.69,2.02,27,-5,Favorite
,Blue,Middleweight,MALE,SUB,Robert Whittaker,Khamzat Chimaev,183,188,185,190,33,30,1.0,214.0,4.54,5.36,0.08,4.31,2000.0,-2450.0,,188,190,5.36,4.31,30,-3,Favorite
,Red,Light Heavyweight,MALE,U-DEC,Magomed Ankalaev,Aleksandar Rakic,190,193,190,198,32,32,3.0,900.0,3.64,4.16,0.92,0.66,-3400.0,2700.0,,190,190,3.64,0.92,32,0,Favorite
,Red,Featherweight,MALE,U-DEC,Lerone Murphy,Dan Ige,175,170,185,180,33,33,3.0,900.0,4.8,3.66,1.78,0.99,-3400.0,2700.0,,175,185,4.8,1.78,33,0,Favorite
,Red,Middleweight,MALE,KO/TKO,Shara Magomedov,Armen Petrosyan,188,190,185,180,30,33,2.0,592.0,6.82,5.95,0.0,0.19,-1660.0,1400.0,,188,185,6.82,0.0,30,-3,Favorite
,Red,Light Heavyweight,MALE,KO/TKO,Ibo Aslan,Rafael Cerqueira,190,190,196,193,28,34,1.0,51.0,8.34,1.18,0.0,0.0,-1080.0,-1120.0,,190,196,8.34,0.0,28,-6,Underdog
,Red,Welterweight,MALE,KO/TKO,Geoff Neal,Rafael Dos Anjos,180,173,190,178,34,40,1.0,90.0,5.05,3.48,0.56,1.95,-2450.0,2000.0,,180,190,5.05,0.56,34,-6,Favorite
,Red,Middleweight,MALE,SUB,Abus Magomedov,Brunno Ferreira,188,178,198,183,34,31,3.0,794.0,2.65,3.76,3.12,0.05,-1550.0,1300.0,,188,198,2.65,3.12,34,3,Favorite
